country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth,iso3,pov_head,shew,prepare_scaleup,finance_pre,rating,avg_prod_k,protection,faref,fa,peref,pe,share1_ref,v,pv,v_s,H,alpha,T_rebuild_K,T_rebuild_L,pi,income_elast,original_country,macro_multiplier,fap,far,v_shew,v_p,v_r,borrow_abi,sigma_p,sigma_r,tot_p,tot_r,dcap,dcar,delta_W,dKpc,dKtot,cp,cr,dcapns,dcarnos,institutional_exposure,individual_exposure,destitution_exposure,dC_destitution,dW_destitution,resilience,resilience_no_shock,resilience_no_shock_no_uspcale,resilience_no_shock_no_SP,dWsurWprime,equivalent_cost,risk,total_equivalent_cost,total_equivalent_cost_of_destitution,total_equivalent_cost_no_destitution
Belize,8214.653712573629,331900.0,,0.9091053771972659,0.146000003814697,,,0.962,0.26195511351745104,0.420367529660433,0.11287637643952125,0.8500224432412746,BLZ,0.2,0.0,0.0,0.0,0.0,0.9615481265045698,50.0,0.10508198699999999,0.10508198699999999,0.2,0.2,,,,0.1269620253164557,0.5356497092899941,0,3,40,0.2,1.5,Belize,1.869318855423179,0.12609838439999999,0.09982788764999997,,,,0.0,0.0,0.0,0.420367529660433,0.11287637643952131,,,,,,,,,,0.12895739445871882,,,65773.37025092162,,,,,,,,,,,
Benin,1733.30939936435,10323474.0,0.0614,0.532349014282227,0.01,0.01619615,0.10625530000000001,0.809,0.40863650500921206,0.04725879624981513,0.07452986615849086,0.7001817474953941,BEN,0.2,0.0,0.0,0.0,0.0,0.3302533219458435,2.0,0.031194443999999998,0.031194443999999998,0.2,0.2,0.0614,0.6011351452840937,0.04801724694081044,0.59875,0.5356497092899941,0,3,40,0.2,1.5,Benin,1.2672700321339347,0.037433332799999997,0.029634721799999996,0.6011351452840937,0.63,0.5987499999999999,0.0,0.0,0.0,0.047258796249815105,0.07452986615849089,968.8320440247193,3420.2875629845344,0.24157532749450183,95.00863251801272,980819147.5752589,532.1259856048554,2033.6052528042235,968.8320440247193,3420.2875629845344,0.259156412740793,0.005193198680069574,0.001345850740577052,13878.320970401115,0.042121817058740164,0.5188602660268141,0.6093303377485554,0.6093303377485554,0.6020711338618474,155.9230299759319,91.55512450928626,0.05282099349536899,945166947.4383794,140333274.4595026,804833672.9788767
Bermuda,52118.640227698204,65024.0,,0.8424221038818359,,,,,,,,,BMU,0.2,0.0,0.0,0.0,0.8166666666666668,,100.0,0.0,0.0,0.2,0.2,,,,0.41125,0.5356497092899941,0,3,40,0.2,1.5,Bermuda,,0.0,0.0,,,,0.4083333333333334,0.10208333333333335,0.10208333333333335,,,,,,,,,,,,,,,417305.3108037811,,,,,,,,,,,
Bhutan,7167.20580923455,753947.0,0.0675,0.7885830688476559,0.020999999046325702,,,0.645,0.25409259310633603,,,0.695453703446832,BTN,0.2,0.4,0.4666666666666667,0.4,0.0,0.18557539427848196,10.0,0.061300182,0.061300182,0.2,0.2,0.0675,0.606407207498384,0.03890585766442922,0.6042500000000001,0.5356497092899941,0,3,40,0.2,1.5,Bhutan,1.1292945958099398,0.0735602184,0.0582351729,0.5578946308985132,0.5796,0.55591,0.2,0.16666666666666669,0.16666666666666669,,,,,,1277.0672287817436,962841005.9383092,2418.9319606166605,8354.274271389022,,,0.17898774225061256,,,57386.62856034726,,,,,0.6581139737031922,,,,,,
Bolivia,5934.38797771874,10671200.0,0.0332,0.9673081970214841,0.025999999046325696,0.08907469000000001,0.2258028,0.8404,0.19813271829565496,0.3472089336125369,0.2268693312429084,0.8211336408521726,BOL,0.2,0.6000000000000001,0.5333333333333333,0.4,0.41666666666666663,0.4218342004210295,10.0,0.046137671,0.046137671,0.2,0.2,0.0332,0.25860977773139937,1.4361027859292261,0.2425,0.5356497092899941,0,3,40,0.2,1.5,Bolivia,1.3546082451583885,0.055365205199999996,0.04383078744999999,0.22757660440363145,0.5544,0.21340000000000003,0.4083333333333333,0.23541666666666666,0.23541666666666666,0.5008868304912522,0.4088771761794737,660.0164940299155,2209.6528735626675,0.08190016361913877,141.5529477936971,1510539816.4961004,985.1084043013108,7171.7078710730975,854.7413900996548,2841.046337427735,0.07918605372422302,0.0021681640771353218,0.00017168835709496802,47515.66059000984,0.0029040301608876614,0.40821838833354956,0.4226930665217694,0.3863029162783,0.32098793892038957,334.88353371513574,34.6757891949826,0.005843195511512958,370032281.6574983,12671365.159402596,357360916.4980957
Bosnia and Herzegovina,9387.35003138015,3829307.0,0.0747,0.8277214813232421,0.28399999618530297,0.03455922,0.07855196,0.999,0.290359088854402,0.21952171315065594,0.12545992207249582,0.8543204555727991,BIH,0.2,0.0,0.0,0.0,0.0,0.32393223235700314,50.0,0.11194801300000001,0.11194801300000001,0.2,0.2,0.0747,0.3846493730936397,0.6378552626592522,0.35962962962962963,0.5356497092899941,0,3,40,0.2,1.5,Bosnia and Herzegovina,1.2612417795308941,0.13433761560000002,0.10635061235000001,0.3846493730936397,0.63,0.35962962962962963,0.0,0.0,0.0,0.21952171315065594,0.1254599220724958,5436.864602668874,10702.67999515644,0.25407664676822606,1208.7830399874629,4628801356.505272,3506.1752367204863,10857.643730045067,5436.864602668874,10702.67999515644,0.2006526864297539,0.009777625087799436,0.0019619067407699153,75162.95523740658,0.026384878534432023,0.5298139911891069,0.5848331280565704,0.5848331280565704,0.5459964143311782,2066.885376353951,45.63046880942074,0.004860846634767707,174733073.62519652,16438300.827800153,158294772.7973964
Botswana,15246.6087973119,2021144.0,0.0284,0.929721221923828,0.183999996185303,0.08854125,0.21644989999999997,0.946,0.054343697712170014,0.2327888197915706,0.04377653874540727,0.945828151143915,BWA,0.2,0.0,0.0,0.0,0.0,0.2811780767140953,50.0,0.026719927999999997,0.026719927999999997,0.2,0.2,0.0284,0.5576705673388359,0.1296992111423687,0.5549999999999999,0.5356497092899941,0,3,40,0.2,1.5,Botswana,1.220468294766466,0.032063913599999994,0.025383931599999996,0.5576705673388359,0.6300000000000001,0.5549999999999998,0.0,0.0,0.0,0.23278881979157062,0.04377653874540721,3753.547915341273,34990.17351010987,0.08769005704380106,773.3251329562632,1563001452.5237536,2165.0184492182893,18517.006384335302,3753.547915341273,34990.17351010987,0.10281687437251998,0.004986506082286603,0.0005126969694202684,122077.06868539118,0.005410312709823531,0.493465810966214,0.5239117296819508,0.5239117296819508,0.5034788986793487,1476.059971830986,31.342602294658683,0.002055709745775378,63347912.57223563,3681317.4581083013,59666595.11412732
Brazil,14555.0821953115,200361925.0,0.0339,0.806246566772461,0.05900000095367429,0.0636212,0.1296786,0.9808,0.29961241635115804,0.22567230651126025,0.2056113132070956,0.8405937918244211,BRA,0.2,0.2,0.8666666666666666,0.6,0.5833333333333334,0.265575010187584,50.0,0.055357513,0.055357513,0.2,0.2,0.0339,0.5701526513471923,0.10496723730284652,0.5675,0.5356497092899941,0,3,40,0.2,1.5,Brazil,1.2055880711781282,0.06642901559999999,0.05258963735,0.5473465452933046,0.6048000000000001,0.5448000000000002,0.5916666666666667,0.3645833333333333,0.3645833333333333,0.5079792780956965,0.4952321886003419,2935.1259954770107,19139.795534613026,0.17080283332325052,1591.648620253665,318905781477.61835,2467.086432105299,17577.081136113047,4426.315545130433,29033.63005063201,0.13738654745226409,0.004336110454399585,0.000595723244701627,116540.12984132102,0.006434065250633522,0.5717303784917068,0.5932672024975666,0.564282632081678,0.5376205900930094,2682.8528756571427,55.67829452941174,0.003825350745689839,11155810272.629904,404978939.46088797,10750831333.169016
Brunei Darussalam,69474.17897293,417784.0,,0.963691864013672,0.0379999995231628,,,0.999,0.0794413769899421,,,0.959779311505029,BRN,0.2,0.0,0.0,0.0,0.0,0.35278062984701475,100.0,0.035496593,0.035496593,0.2,0.2,,,,0.12225,0.5356497092899941,0,3,40,0.2,1.5,Brunei Darussalam,1.2887537179109068,0.0425959116,0.033721763349999996,,,,0.0,0.0,0.0,,,,,,,,,,,,0.03817627466815391,,,556268.2319123214,,,,,,,,,,,
Bulgaria,15695.0177942759,7265115.0,0.0641,0.969386520385742,0.128999996185303,0.01463466,0.07025403,0.995,0.396330201442252,0.66309464,0.404462695,0.7993348992788739,BGR,0.2,0.8,0.6666666666666667,0.8,0.55,0.3230784715072762,50.0,0.041496363,0.041496363,0.2,0.2,0.0641,0.39346369400377834,0.6011642486992721,0.373,0.5356497092899941,0,3,40,0.2,1.5,Bulgaria,1.26042757084228,0.0497956356,0.03942154485,0.3305095029631738,0.5292,0.3133199999999999,0.675,0.3354166666666667,0.3354166666666667,0.7760983128333333,0.60421583271875,2033.3702806199738,7471.714254348973,0.054421668046416016,643.6298001395985,4676044515.441199,5030.2532030654265,18361.208942078516,2937.0150442082495,10888.42192399294,0.12009285884022902,0.00043917810827333694,5.274215456258867e-05,125667.40517590131,0.0005485613518814023,0.6655624093460036,0.6722711676060572,0.6490226874085185,0.5340815787957341,957.39610912,19.340930049581477,0.0012322974273170477,140514081.01716512,1402224.350978175,139111856.66618696
