country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,axhealth,bashs,ophe,social_p,social_r
Cabo Verde,6210.492954660251,498897.0,0.0579,0.8930663,0.07,,,0.7816508186734215,0.775,0.21169836265315697,0.11215629287022583,0.08850635522282173
Cambodia,2943.52466835185,15135169.0,0.08990000000000001,0.6594856,0.0030000001192092896,0.0018845390000000002,0.0135313,0.5613771858344889,0.74,0.617245628331022,0.02478883990859972,0.028243106138826066
Cameroon,2739.34394480018,22253959.0,0.0635,0.6975482,0.04,0.09603557,0.10264469999999999,0.5047546745149241,0.636,0.626490650970152,0.149924286778418,0.02986213188812069
Canada,41894.0969684733,35158304.0,0.071,0.9983825999999999,0.07099999904632572,0.37866279999999997,0.6435151,0.9890043433867921,1.0,0.149937813096453,,
Caribbean small states,14252.2790698035,7002680.0,,0.8656566619873051,0.11703009973073498,,,0.8169717654862629,0.9645907934268949,0.33064726245436893,,
Cayman Islands,,58435.0,,0.7464883,,,,,1.0,,,
Central African Republic,584.375944042188,4616417.0,0.0337,0.46556290000000006,0.0759999990463257,0.004980593,0.03877625,0.5411587272212464,0.5379999999999999,0.45568254555750703,,
Central Europe and the Baltics,22204.9031300167,104199533.0,,0.9735376739501949,0.100929996933504,,,0.8878184658461699,0.9962922256334709,0.22065529394113104,,
Chad,2021.59347086517,12825314.0,0.048799999999999996,0.38058659999999994,0.07,0.02376361,0.0965229,0.281351548419606,0.22699999999999998,0.6642969031607879,,
Channel Islands,,162018.0,,,,,,,,,,
Chile,21714.031550210802,17619708.0,0.0452,0.9866754,0.06,0.04839926,0.1772127,0.8384059974206239,0.9983,0.32148800515875203,,
China,11524.567506563,1357380000.0,0.0467,,0.0459999990463257,0.1825242,0.41681470000000004,0.8272954585867205,0.998,0.34340908282655896,,
Colombia,12025.385371844199,48321405.0,0.033,0.8471189,0.105,0.03820446,0.1426447,0.922702634639111,0.993,0.147594730721778,0.12269429867232788,0.08732756485972662
Comoros,1399.7808484349,734917.0,0.0255,0.5540693,0.065,0.029037740000000003,0.150694,0.6904207310442555,0.8220000000000001,0.441158537911489,0.036605229136707475,0.02693787180592966
"Congo, Dem. Rep.",783.259253578526,67513677.0,0.0547,0.7072544999999999,0.08,0.008770726999999999,0.020259549999999998,0.739586353437482,0.804,0.324827293125036,0.012981287634021593,0.03017523822148268
