country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth,pov_head,shew,prepare_scaleup,finance_pre,rating,avg_prod_k,protection,fa,pe,v,pv,v_s,peref,faref,protectionref,share1_ref,H,alpha,T_rebuild_K,T_rebuild_L,pi,income_elast,original_country
Barbados,15298.7155167979,284644.0,,0.9337465667724608,0.121999998092651,,,1.0,0.31899663942823897,,,0.8405016802858805,0.2,0.8,0.8,0.8,0.275,1.0175034070232714,0.5,0.0,0.1679728080635645,,,,0.1679728080635645,0.0,0.5,,0.5356497092899943,1,3,40,0.2,1.5,Barbados
Belarus,17054.5583344525,9466000.0,0.0937,0.986681365966797,0.058000001907348615,0.04172604,0.08594028,1.0,0.31856300870952897,0.4917469369193375,0.3101703987921827,0.8407184956452355,0.2,0.8,0.7333333333333333,0.8,0.25,0.38644453675382373,14.45,0.03563503796859986,0.1679728080635645,0.26212007907295787,1.4034785973975206,0.21574999999999983,0.1679728080635645,0.03563503796859986,14.45,0.0937,0.5356497092899943,1,3,40,0.2,1.5,Belarus
Belgium,40608.9720093428,11182817.0,0.08349999999999999,0.865133590698242,0.0839999961853027,0.43803739999999997,0.4174232,1.0,0.199116577128342,0.65117317,0.402522585,0.9004417114358291,0.2,0.0,0.0,0.0,0.8833333333333333,0.21669151743746679,213.02,0.10099202257790048,0.1679728080635645,0.14729413882826148,1.2404150132868863,0.12699999999999997,0.1679728080635645,0.10099202257790048,213.02,0.08349999999999999,0.5356497092899943,1,3,40,0.2,1.5,Belgium
Belize,8214.653712573629,331900.0,,0.9091053771972659,0.146000003814697,,,0.962,0.26195511351745104,0.420367529660433,0.11287637643952125,0.8500224432412746,0.2,0.0,0.0,0.0,0.2,0.9615481265045698,16.46,0.10467316001645112,0.1679728080635645,,,,0.1679728080635645,0.10467316001645112,16.46,,0.5356497092899943,1,3,40,0.2,1.5,Belize
Benin,1733.30939936435,10323474.0,0.0614,0.532349014282227,0.01,0.01619615,0.10625530000000001,0.809,0.40863650500921206,0.04725879624981513,0.07452986615849086,0.7001817474953941,0.2,0.0,0.0,0.0,0.0,0.3302533219458435,6.35,0.043864808492979766,0.84,0.6028818009994501,0.044980954733736755,0.5987500000000001,0.84,0.043864808492979766,6.35,0.0614,0.5356497092899943,1,3,40,0.2,1.5,Benin
Bermuda,52118.640227698204,65024.0,,0.8424221038818359,,,,,,,,,0.2,0.0,0.0,0.0,0.8166666666666668,,0.5,,0.1679728080635645,,,,0.1679728080635645,,0.5,,0.5356497092899943,1,3,40,0.2,1.5,Bermuda
Bhutan,7167.20580923455,753947.0,0.0675,0.7885830688476559,0.020999999046325702,,,0.645,0.25409259310633603,,,0.695453703446832,0.2,0.4,0.4666666666666667,0.4,0.0,0.18557539427848196,6.81,0.052969920345414236,0.1679728080635645,0.6063381768535167,0.039024135457331965,0.6042500000000001,0.1679728080635645,0.052969920345414236,6.81,0.0675,0.5356497092899943,1,3,40,0.2,1.5,Bhutan
Bolivia,5934.38797771874,10671200.0,0.0332,0.9673081970214841,0.025999999046325696,0.08907469000000001,0.2258028,0.8404,0.19813271829565496,0.3472089336125369,0.2268693312429084,0.8211336408521726,0.2,0.6000000000000001,0.5333333333333333,0.4,0.41666666666666663,0.4218342004210295,6.7,0.04648689477305887,-0.08,0.2541416178148484,1.478932830509399,0.24250000000000005,-0.08,0.04648689477305887,6.7,0.0332,0.5356497092899943,1,3,40,0.2,1.5,Bolivia
Bosnia and Herzegovina,9387.35003138015,3829307.0,0.0747,0.8277214813232421,0.28399999618530297,0.03455922,0.07855196,0.999,0.290359088854402,0.21952171315065594,0.12545992207249582,0.8543204555727991,0.2,0.0,0.0,0.0,0.275,0.32393223235700314,18.78,0.13678412833995238,0.1679728080635645,0.3838561565329749,0.6412397958918246,0.3596296296296296,0.1679728080635645,0.13678412833995238,18.78,0.0747,0.5356497092899943,1,3,40,0.2,1.5,Bosnia and Herzegovina
Botswana,15246.6087973119,2021144.0,0.0284,0.929721221923828,0.183999996185303,0.08854125,0.21644989999999997,0.946,0.054343697712170014,0.2327888197915706,0.04377653874540727,0.945828151143915,0.2,1.0,0.7333333333333333,1.0,0.725,0.2811780767140953,16.67,0.034952582599130165,0.1679728080635645,0.5575807675685076,0.1298811520119274,0.5549999999999998,0.1679728080635645,0.034952582599130165,16.67,0.0284,0.5356497092899943,1,3,40,0.2,1.5,Botswana
