country,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,fa,faref,finance_pre,gdp_pc_pp,income_elast,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,share1,share1_ref,shew,social_p,social_r,unemp,v,v_s
Benin $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.3302533219458435,0.01619615,0.10625530000000001,0.7001817474953941,0.809,0.043864808492979766,0.043864808492979766,0.0,1733.30939936435,1.0,0.40863650500921206,Benin,0.84,0.84,0.2,0.532349014282227,10323474.0,0.2,0.0,6.35,6.35,0.044980954733736755,0.0,0.0614,0.0614,0.0,0.04725879624981513,0.07452986615849086,0.01,0.6028818009994501,0.5987500000000001
Benin $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.3302533219458435,0.01619615,0.10625530000000001,0.7001817474953941,0.809,0.043864808492979766,0.043864808492979766,0.0,1733.30939936435,2.0,0.40863650500921206,Benin,0.84,0.84,0.2,0.532349014282227,10323474.0,0.2,0.0,6.35,6.35,0.044980954733736755,0.0,0.0614,0.0614,0.0,0.04725879624981513,0.07452986615849086,0.01,0.6028818009994501,0.5987500000000001
Bolivia $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.4218342004210295,0.08907469000000001,0.2258028,0.8211336408521726,0.8404,0.04648689477305887,0.04648689477305887,0.4,5934.38797771874,1.0,0.19813271829565496,Bolivia,-0.08,-0.08,0.2,0.9673081970214841,10671200.0,0.2,0.5333333333333333,6.7,6.7,1.478932830509399,0.41666666666666663,0.0332,0.0332,0.6000000000000001,0.3472089336125369,0.2268693312429084,0.025999999046325696,0.2541416178148484,0.24250000000000005
Bolivia $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.4218342004210295,0.08907469000000001,0.2258028,0.8211336408521726,0.8404,0.04648689477305887,0.04648689477305887,0.4,5934.38797771874,2.0,0.19813271829565496,Bolivia,-0.08,-0.08,0.2,0.9673081970214841,10671200.0,0.2,0.5333333333333333,6.7,6.7,1.478932830509399,0.41666666666666663,0.0332,0.0332,0.6000000000000001,0.3472089336125369,0.2268693312429084,0.025999999046325696,0.2541416178148484,0.24250000000000005
Bosnia and Herzegovina $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.32393223235700314,0.03455922,0.07855196,0.8543204555727991,0.999,0.13678412833995238,0.13678412833995238,0.0,9387.35003138015,1.0,0.290359088854402,Bosnia and Herzegovina,0.1679728080635645,0.1679728080635645,0.2,0.8277214813232421,3829307.0,0.2,0.0,18.78,18.78,0.6412397958918246,0.275,0.0747,0.0747,0.0,0.21952171315065594,0.12545992207249582,0.28399999618530297,0.3838561565329749,0.3596296296296296
Bosnia and Herzegovina $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.32393223235700314,0.03455922,0.07855196,0.8543204555727991,0.999,0.13678412833995238,0.13678412833995238,0.0,9387.35003138015,2.0,0.290359088854402,Bosnia and Herzegovina,0.1679728080635645,0.1679728080635645,0.2,0.8277214813232421,3829307.0,0.2,0.0,18.78,18.78,0.6412397958918246,0.275,0.0747,0.0747,0.0,0.21952171315065594,0.12545992207249582,0.28399999618530297,0.3838561565329749,0.3596296296296296
Botswana $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.2811780767140953,0.08854125,0.21644989999999997,0.945828151143915,0.946,0.034952582599130165,0.034952582599130165,1.0,15246.6087973119,1.0,0.054343697712170014,Botswana,0.1679728080635645,0.1679728080635645,0.2,0.929721221923828,2021144.0,0.2,0.7333333333333333,16.67,16.67,0.1298811520119274,0.725,0.0284,0.0284,1.0,0.2327888197915706,0.04377653874540727,0.183999996185303,0.5575807675685076,0.5549999999999998
Botswana $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.2811780767140953,0.08854125,0.21644989999999997,0.945828151143915,0.946,0.034952582599130165,0.034952582599130165,1.0,15246.6087973119,2.0,0.054343697712170014,Botswana,0.1679728080635645,0.1679728080635645,0.2,0.929721221923828,2021144.0,0.2,0.7333333333333333,16.67,16.67,0.1298811520119274,0.725,0.0284,0.0284,1.0,0.2327888197915706,0.04377653874540727,0.183999996185303,0.5575807675685076,0.5549999999999998
Brazil $(\eta=1)$,0.5356497092899943,3.0,40.0,1.0,0.265575010187584,0.0636212,0.1296786,0.8405937918244211,0.9808,0.049661979062635815,0.049661979062635815,0.6,14555.0821953115,1.0,0.29961241635115804,Brazil,0.1679728080635645,0.1679728080635645,0.2,0.806246566772461,200361925.0,0.2,0.8666666666666666,22.17,22.17,0.10513894596849283,0.5833333333333334,0.0339,0.0339,0.2,0.22567230651126025,0.2056113132070956,0.05900000095367429,0.5700640650645944,0.5675
Brazil $(\eta=2)$,0.5356497092899943,3.0,40.0,1.0,0.265575010187584,0.0636212,0.1296786,0.8405937918244211,0.9808,0.049661979062635815,0.049661979062635815,0.6,14555.0821953115,2.0,0.29961241635115804,Brazil,0.1679728080635645,0.1679728080635645,0.2,0.806246566772461,200361925.0,0.2,0.8666666666666666,22.17,22.17,0.10513894596849283,0.5833333333333334,0.0339,0.0339,0.2,0.22567230651126025,0.2056113132070956,0.05900000095367429,0.5700640650645944,0.5675
