country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,share1,shew,social_p,social_r,unemp,v,v_s
Sweden $(\alpha=-70\%)$,0.008179615096359782,0.16468042753903234,-1.5275425369054574e-05,-0.6175575498534869,0.00043614774014599783,0.0015480919435262306,0.0033300477708664285,-0.009484325502739921,0.0014735381137498391,-0.2965210547545283,0.0031333075467543377,0.0033300477708664285,0.0029253301114806614,7.19212689404003e-05,-0.08988387383279671,0.0014735381137498391,1.9923746227279435,0.0007693984560575017,0.006095212246037817,0.005614248421714762,-0.003330047615435205,6.352235934170557,-6.388794824307985
Sweden $(H=65\%)$,0.0007221004572066646,-0.05140736526465516,-7.743028440643228e-07,-0.188325746131035,2.165713164359317e-05,7.903490084615328e-05,0.0001687955997198287,-0.009539141110348481,0.0008441029875072558,-0.16360894427025485,0.0017701359378285984,0.0001687955997198287,0.0017008955244257604,7.3767769670496355e-06,-0.04960244985863226,0.0008441029875072558,1.0985664535057005,0.0004355743543626999,0.003396023839918882,0.0033094704199321252,-0.00016879558861759844,3.5030266796853833,-3.5236595458565385
Sweden $(\pi=40\%)$,0.0017477434055557237,-0.05139546227495017,-2.8649083105847235e-06,-0.18827495549267323,8.156412212301234e-05,0.0002906389684476096,0.0006245497785606346,-0.0077009626453516935,0.000810007760865261,-0.1636624393674957,0.0020049136795208256,0.0006245497785606346,0.0015827052779471271,3.6047831386554203e-06,-0.04957437715891188,0.000810007760865261,1.0991192103126934,0.0010076623202515123,0.0033230890483793014,0.0030326037570027604,-0.0006245497785606346,3.505820172466922,-3.525290714379014
Sweden $(fa= 2\%)$,0.002488823547253105,-0.05140972725303782,-4.647893181441987e-06,-0.18826293302076633,0.00013270731180625717,0.00047104021794197587,0.001013238548619455,-0.009555436319974575,0.0009549254054164179,-0.16352824631082896,0.0019507283011144236,0.001013238548619455,0.0019412101037730165,7.503819787757492e-06,-0.04964946480612297,0.0009549254054164179,1.0985932604956616,0.0004505640305296765,0.003674315951496254,0.003927046476892571,-0.001013238548619455,3.499627455005871,-3.5217136489795737
Sweden $(pe= 0\%)$,0.0026140712594546756,-0.053413481682085255,-4.8853254774883226e-06,-0.1956073040987327,0.00011994500948020458,0.0005195756491715997,0.0010650033410719573,-0.009609499518337117,0.0009659484767610137,-0.1689934683635208,0.002184903036273056,0.0010650033410719573,0.0019465352329994798,-1.4724099717255966e-05,-0.04491845613241451,0.0009659484767610137,0.8014753724250311,0.000555312851258094,0.0032705227859253223,0.004312247692261906,-0.0010650033077652665,3.620843427287745,-3.6440197709652895
Sweden $(pv= 0\%)$,0.0024724448932644805,-0.051399011546937594,-4.6116999108392065e-06,-0.18820205989200642,0.0001269187976937758,0.00047333048591724486,0.0010053545995702962,-0.00952632206452364,0.0007179596583917202,-0.16387469566891966,0.0020973758396714004,0.0010053545995702962,0.001430484630748907,7.427314319130573e-06,-0.04962255754081823,0.0007179596583917202,1.0809162373170977,0.0005253826484974411,0.0015416362741937915,0.003919479729663777,-0.0010053545662636054,3.5037323499409463,-3.5207950755067325
Sweden $(v= 6\%)$,0.0006681999620283817,-0.05140490563215749,-8.377187832309118e-07,-0.18833625048397803,2.36924146967965e-05,8.518230565357497e-05,0.00018262305001570664,-0.004746985693415695,0.0005551918702551006,-0.16381064095183362,0.0009432182368485086,0.00018262305001570664,0.0011236485741861202,3.8609115904364444e-05,-0.04947026067680937,0.0005551918702551006,1.1001194161641692,0.0002124972087180765,0.0027885177389386224,0.0017073876090734073,-0.00018262306111793689,7.033174173520783,-7.060403868008879
Sweden $(protection=27yr)$,0.002487810757401121,-0.05138101450974374,-4.645983597839631e-06,-0.1882214371695667,0.00013265332166056965,0.00047084856014123483,0.0010128262450948,-0.009020976743379094,0.0009634893549659295,-0.16356506754577893,0.0020817573553877367,0.0010128262450948,0.0019158476471936579,-2.2988499992493416e-06,-0.04966935700512209,0.0009634893549659295,1.098431876633832,0.0005205798347951429,0.003649823987483813,0.0038977308824961194,-0.001012826200685879,3.498708535853989,-3.521906285197662
Sweden $(\eta=1)$,0.002453780345579304,-0.05442422150725434,-4.043476664605805e-06,-0.19933678232497695,0.00013083878425135254,0.00046440787881962814,0.0009989719385039564,-0.006572561295214995,0.0007432438442478427,-0.10057468261548407,0.0016287488580069007,0.0009989719385039564,0.0014866381237155222,-3.705258322383997e-07,-0.028276486585543378,0.0007432438442478427,0.17619553797088014,0.00040698788783544154,0.002575426605311293,0.0032498185031926137,-0.0009989719051972656,3.683307517488021,-3.703052877168655
Sweden $(\eta=2)$,0.0032207652322924214,-0.06396148107823407,-6.781586403548089e-06,-0.2310058105026158,0.00017173541477788487,0.0006095691174046181,0.0013112233410161878,-0.02610193178265163,0.0020948631718198385,-0.30246995437188673,0.008048030919471927,0.0013112233410161878,0.0003682334992483049,0.00043934000881762353,-0.0895643970211246,0.0020948631718198385,3.596072588596399,0.008926350281157625,0.011550108636182442,0.0009863411198907102,-0.001311223307709497,4.404680055314358,-4.443593741121354
