country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,share1,shew,social_p,social_r,unemp,v,v_s
Lithuania $(\eta=1)$,0.029916668589702322,-0.05367271015144226,-8.36262908920915e-05,-0.2011658040519393,0.001778264288265774,0.003664492747745829,0.01395694029249217,-0.0087881177945337,0.012542734133702549,-0.059874521278702186,0.0,0.01395694029249217,0.025085350008946516,-5.551115123125783e-14,0.0030011268996044116,0.012542734133702549,2.1784894203621397,0.002329127098632533,0.41725608911941103,0.018803393042443606,-0.013956016297667073,2.2992248365580337,-2.855217731749682
Lithuania $(\eta=2)$,0.016971465539805664,-0.03430921571967449,-6.0601447804398134e-05,-0.12860109475421044,0.001008801110757851,0.00207884879294129,0.007917683025215894,-0.014268790588245484,0.014396365226987395,-0.2090384817515778,0.0,0.007917683025215894,0.028785122120345008,5.551115123125783e-14,-0.031919679594982764,0.014396365226987395,5.56247587101133,0.0018955125897224256,0.513322714973452,0.012159550569434963,-0.007917215426977986,1.6592278344346179,-2.0652551493766658
Madagascar $(\eta=1)$,0.10126846717589677,-0.03707541954389715,-0.0014539541421387803,-0.14068444521908585,0.04210615808952767,0.03304905832274274,0.06848078955451475,-0.00837369015727063,0.03510589948685361,-0.19093529476771343,0.06406348052034883,0.06848078955451475,0.0702150688476344,0.0,-0.08115305437333964,0.03510589948685361,0.821766727586104,0.016004345713249712,0.1508633112428659,0.0900049762099231,-0.06845323476717402,0.2727934483576222,-0.5101763863037401
Madagascar $(\eta=2)$,0.061185028952748244,-0.026455634970085073,-0.001122189252827921,-0.10038696829636762,0.025440461986797613,0.01996823867553288,0.04137560638811655,-0.010939622244715563,0.03480388337886997,-0.31029589691708437,0.05384672387495626,0.04137560638811655,0.06961425560264578,5.551115123125783e-14,-0.12218533281754818,0.03480388337886997,3.9778323982307406,0.013454168883181294,0.18083390853401715,0.056973005206184535,-0.041360819182184594,0.09393815472796829,-0.2855531746836504
Malawi $(H=65\%)$,0.04552607280372545,-0.027162092229249257,-0.0007022318077587464,-0.10660718768634725,0.02558000795910287,0.008228063408111108,0.04656418860193856,-0.011905476013762684,0.03498116119909911,-0.2612704160673829,0.04897285775595783,0.04656418860193856,0.06996722362739849,-5.551115123125783e-14,-0.1316551433413471,0.03498116119909911,3.338450939773252,0.012237580424345751,0.18642967301296665,0.03307964085724757,-0.04654800653430824,0.15139445045947442,-0.33095330469501416
Malawi $(\alpha=-70\%)$,0.06478340092785917,0.06460561016208288,-0.0017498505586743818,-0.2265937430063758,0.05561135010373475,0.02912530403775815,0.11604455401426073,-0.010920674884562498,0.05327359144124966,-0.3844201522826829,0.06571103465752293,0.11604455401426073,0.10655730096248428,5.551115123125783e-14,-0.18681817096399822,0.05327359144124966,4.913577879210096,0.016415604909669756,0.2659050892449555,0.06855815147938094,-0.1159767317781557,0.23354142705012126,-0.4762191868649679
Malawi $(\eta=1)$,0.04106718130675313,-0.03299715060633979,-0.0009788294751400528,-0.12950947808298974,0.03525308607715827,0.018463393905154835,0.07355999012775838,-0.009474190704905627,0.03304609295046168,-0.1940197319921233,0.04434777141198998,0.07355999012775838,0.06609568800602927,-5.551115123125783e-14,-0.09823249408325019,0.03304609295046168,1.302022169433259,0.011079515254419636,0.1573534490241224,0.05014230604893921,-0.0735279206274253,0.28831286104313847,-0.46102584748636266
Malawi $(\eta=2)$,0.01590249053526338,-0.01920960743709288,-0.0004841979401315477,-0.07539512374263313,0.013651159933597556,0.007149739117140452,0.028483924337602273,-0.01135312080235984,0.02901230403409838,-0.24768646878273182,0.03500005807488549,0.028483924337602273,0.0580302179798986,0.0,-0.1213913778820297,0.02901230403409838,4.97200404874315,0.008747102816286656,0.16087106941395368,0.021162895321891195,-0.028475094394825318,0.07450662252769802,-0.20062366883918936
Malawi $(\pi=40\%)$,0.041188154156990286,-0.02716701700472557,-0.0007053975413784386,-0.10662648295572952,0.023569720168037378,0.010518296454875564,0.04677406752778834,-0.009649518326715345,0.033098045240376184,-0.26013244066624974,0.049105707191909875,0.04677406752778834,0.06620092775982966,1.1102230246251565e-13,-0.12703536274882854,0.033098045240376184,3.2923696670332236,0.024543054575942858,0.1756220877834891,0.03208192587905723,-0.04675788589153518,0.18668897720880429,-0.33677290566203055
Malawi $(fa= 1\%)$,0.029062476592123243,-0.02673195703606357,-0.0007850437809264754,-0.10491924619099313,0.02494799393615299,0.013066288064356169,0.052056518558385445,-0.011717564786073442,0.034176681536157716,-0.2563053249696745,0.04225127817542029,0.052056518558385445,0.06835868992932648,0.0,-0.1257611805774994,0.034176681536157716,3.220495802364609,0.010557444120262716,0.17669365174655116,0.037815167045041065,-0.05203613826126885,0.16796464656404497,-0.32540628316313214
