country	H	alpha	avg_prod_k	bashs	finance_pre	loan40	loan60	ophe	pe	plgp	prepare_scaleup	pv	rating	saved40	saved60	share1	shew	social_p	social_r	unemp	v
Cameroon	3.045523423511428	-50701.26923884122	-5.069057494893269	9.047835003777283	inf	25.417364657128	12.724973334677879	-9.185172880957664	-3.1641383446462448	4.124749275270794	6099745.931914867	-4.311445771613302	inf	135.09414813449962	60.798006688451	9.872159359208924	45812.65705721347	129.87641979214845	276.91725024516927	-17.982178934622493	17.705422818747994
Canada	4.974908155117781	-50574.44778242297	-5.0561357378776375	7.5335523851311486	26.198674537552673	322.3634258563408	22.328739417963323	-50.24424141621652	-7.021745975725035	3.843648588251597	9.823632309966248	-9.449533791690696	15.71810663204061	321.38977310645583	15.594296389790241	-63.024879214540434	4.530821123573947	4.760094501485275	11.010064171623526	-13.263138938506266	-57.30167199701564
Caribbean small states																					
Cayman Islands																					
Central African Republic																					
Central Europe and the Baltics																					
Chad																					
Channel Islands																					
Chile																					
China																					
Colombia	2.360513268186103	-70551.37225638838	-7.052873779517752	5.132677247735572	27.42939786174289	67.30542609222825	22.15457551860102	-34.53186358382021	-2.6206560034804114	3.0082829125482973	15.67224063274894	-3.639291616851376	36.56718909864843	464.0186851935467	63.68095654633605	22.60762574010801	4.706787280961936	8.114529593424711	15.21134684851038	-6.067516785972187	-49.0651191601303
Comoros	2.214067122534468	-111835.76975414145	-11.17833533027953	6.219213200875453	1440.0025982797042	40.76883021550769	14.19198096390546	-11.588101420747766	-2.4608772072418956	4.613312129774455	1439.7144223307307	-3.432143720454899	2880292.158561838	407.6838095270672	37.6675394552534	27.96002032120424	7.284371360563539	65.75333164688047	141.19315073522404	-9.831018890391121	23.098984881623633
Congo, Dem. Rep.	2.6474554219991027	-82914.154194935	-8.288240938839095	5.860589712763637	inf	45.08194041687904	17.756128194939016	-14.505885383930787	-2.971166004331944	3.3311292641011048	2030671.8922627792	-4.09201902474795	inf	1519.7059558564133	325.9930504079716	11.99834099686351	49211.1056038619	61.828167931538204	82.79251388794913	-7.362297016151904	17.23528925419382
Congo, Rep.	2.989745236032924	-52195.80768682751	-5.218349095893521	5.184801622789139	inf	56.52056073340259	24.063738819438413	-19.361202214443253	-3.0628202816096444	3.45206151662175	1093821.769779781	-4.186446187812621	inf	914.2893071629954	96.58610797606599	12.047682834775078	45158.18379617162	16.982235092391743	38.0765883411255	-9.332526619094109	31.092652863118037
Costa Rica	2.413238010801685	-44333.6799031637	-4.432555689246321	5.749356067410275	9.770543562072586	390.7534407146712	36.13484299830295	-24.67870575644379	-4.960007753508483	3.2205539493017987	6.586273944544529	-6.611417621286297	20.210982662186556	553.6733236865707	36.13973694585381	139.73120420856196	3.272405990871315	3.328083370326799	10.152433717390998	-9.370973211683243	-22.040460864057607
Cote d'Ivoire																					
Croatia	1.6841746107214126	-82521.17144829816	-8.24887260414407	6.19006910216952	13.859588795287056	90.58967082761696	17.73114091609111	-44.56997619380585	-6.954623047199316	3.1124782279962515	8.752439329684218	-8.54732260304017	23.75462618981014	329.32816015956587	51.07258907517813	24.563099171397123	4.574443548577555	3.6494935242445026	6.194054506063467	-4.37150356855177	-13.633258110396453
Cuba																					
Curacao																					
Cyprus																					
