country,H,T_rebuild_K,T_rebuild_L,alpha,axfin_p,axfin_r,axhealth,fa,finance_pre,pe,pi,plgp,prepare_scaleup,protection,pv,rating,resilience,share1,shew,social_p,social_r,unemp,v,v_s,v_shew
Pakistan $(\eta=1)$,-0.0025131085946150655,0.0013132504064136685,3.8531376598052725e-05,0.004770325021490052,-0.0008325886060884385,-0.0011648118496652982,-0.0020879776118816473,0.24312728721940893,-0.0008574936175929221,0.0011007816113541707,-0.01423409777091128,-0.0020879776118816473,-0.0017148642334936792,-0.0026483847471309163,0.002368632917765928,-0.0008574936175929221,-0.029337293792731704,-0.0032123734931052,-0.004744904240685036,-0.002397131189043472,-0.0028794048668734362,0.0020879776118816473,0.029176726885524543,0.013283147463422768,0.033155371460822605
Pakistan $(\eta=2)$,-0.003280956782005656,0.001655677285902421,6.425900674761342e-05,0.006014239602020882,-0.0010869754055262831,-0.0015207052119041442,-0.002725932465098488,0.30218638279115584,-0.0013627967079005848,0.006077385696247675,-0.018050791813564726,-0.002725932465098488,-0.0027253544241621908,-0.0032856294710191525,0.00594605901194957,-0.0013627967079005848,-0.045153672685951655,-0.09257025865331593,-0.006017294673003534,-0.004395376092512088,-0.0039417582965561165,0.0027259324650950184,0.038556318447454524,0.015238607631775508,0.0438139982357428
Panama $(\eta=1)$,-1.9012289556499112e-05,0.00019328642923222353,2.047566675456372e-06,0.0006710200562355835,-6.908690245365987e-05,-4.982904461985939e-05,-0.0003710592446930141,0.10732793774886287,-3.872088296568224e-05,5.353045617472081e-05,-0.001405804599928246,-0.0003710592446930141,-7.74380079903575e-05,-0.00013903948911631568,0.00029132646995862557,-3.872088296568224e-05,-0.0032534081963684026,-0.003240902448451745,-0.0004686072041537072,-0.00011110243938066734,-0.00013430367233201353,0.00037105924469323093,0.00200750597086595,0.0014322312648089482,0.002281256785074964
Panama $(\eta=2)$,-2.4345073441553455e-05,0.00041370479067536284,3.3492289124373298e-06,0.0014362926084440439,-8.84651850632974e-05,-6.38056635525984e-05,-0.00047513817504193576,0.22196662107874407,-8.778702662633892e-05,0.0021536097844165013,-0.002920694821813806,-0.00047513817504193576,-0.00017554458424991898,-0.0002873750649065067,0.001709671642956441,-8.778702662633892e-05,-0.013898625225622366,-0.08557012750018368,-0.0009736138421802439,-0.00036261709585559687,-0.00018547030994180147,0.00047513817504193576,0.004315196589317703,0.0028313403277937382,0.004903632487861071
Paraguay $(\eta=1)$,-8.512769754506679e-05,0.00010685839396554295,2.1992581915753623e-06,0.00038952437508203794,-8.946400726012396e-05,-2.911676133695012e-05,-0.0002024740984291713,0.05603229824967606,-6.68625062397784e-05,0.0002216301193639237,-0.0015468339041760197,-0.0002024740984291713,-0.00013372017186423502,-7.651652847624497e-05,0.00020738608506735198,-6.68625062397784e-05,-0.0024542676175862746,-0.0026638218735357787,-0.0003867223920294479,-0.0004017288239530374,-8.679065860537228e-05,0.0002024740984291713,0.00343407251252514,0.0017126406203828723,0.004088181562529893
Paraguay $(\eta=2)$,-0.00011174122284841187,0.00024393117356970653,3.6876439280658646e-06,0.0008892133107616437,-0.00011743319578111193,-3.821955263708619e-05,-0.00026577370240395484,0.12139752485810736,-0.00022603350324280382,0.001917060969038346,-0.00336609877740323,-0.00026577370240395484,-0.000452028626411749,-0.0001656734154866727,0.0009879830337726925,-0.00022603350324280382,-0.011506332443088043,-0.058479515592054894,-0.0008415826351726528,-0.001539239400606381,-0.00012095468099348507,0.00026577370240395484,0.007998178181598111,0.0031757357612689774,0.00952164069237862
Peru $(\eta=1)$,-5.888079086531061e-05,5.1668786020422734e-05,6.889589949433429e-07,0.0001997342400201726,-2.0451007442536494e-05,-1.7407042102873804e-05,-6.503970442176422e-05,0.013959720959419029,-2.6003612119802032e-05,0.00014871695767459774,-0.0006821182489127821,-6.503970442176422e-05,-5.20034494832719e-05,-1.0315545567643036e-05,5.603619580493973e-05,-2.6003612119802032e-05,-0.00115991089855066,-0.0005474365649786052,-0.00022737873152503313,-0.00010980926396165136,-5.6507247644672475e-05,6.503970442171001e-05,0.002090388809736579,0.001264122289449407,0.0023754418292461343
Peru $(\eta=2)$,-7.839395125273148e-05,7.997098089729954e-05,1.1717436540362516e-06,0.0003091549595709859,-2.722849433498941e-05,-2.317575545471469e-05,-8.659393569603394e-05,0.02099548847165982,-8.373703323284482e-05,0.0013217094399878586,-0.0010465214433137563,-8.659393569603394e-05,-0.00016746557300476375,-1.5500439044173302e-05,0.0002820505511545116,-8.373703323284482e-05,-0.0026189688473009475,-0.0164278603940627,-0.0003488568286193986,-0.00045796151416704553,-8.181738132687685e-05,8.65939356958171e-05,0.0035195358046115127,0.001620982894984073,0.0039994725052403925
Philippines $(\eta=1)$,-0.00018501305716210788,0.00017496138893713029,4.3646895342766556e-07,0.0006744046901257985,-1.1025503889429758e-05,-1.4992394558460687e-05,-3.0443651705689204e-05,0.058345188308225146,-1.887554918009876e-05,3.123326156257225e-05,-0.00218067844435523,-3.0443651705689204e-05,-3.774291818382618e-05,-0.0003779664967549969,0.00025699817858418697,-1.887554918009876e-05,-0.003789488786621024,-0.00022872573819665565,-0.0007269056298711638,-6.345082594928775e-05,-6.557085863189739e-05,3.0443651705906044e-05,0.014153321530876615,0.011972165397457083,0.01608331992145072
Philippines $(\eta=2)$,-0.0002405280500926768,0.00023034285851711994,7.248480925724221e-07,0.0008879128728677722,-1.4333815095794733e-05,-1.949101044364937e-05,-3.957856972236842e-05,0.07651752330212723,-3.740238021425826e-05,0.001668886641752014,-0.002870296320768139,-3.957856972236842e-05,-7.479594100892953e-05,-0.0004954734388711024,0.0010150219801044122,-3.740238021425826e-05,-0.006512006070092952,-0.029528656125416605,-0.0009567900147934745,-0.00016034818259161657,-9.357515332866426e-05,3.9578569722802104e-05,0.01914584243953993,0.015242190468403149,0.021756639135840857
