country,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,borrow_abi,cp,cr,dC_destitution,dKpc,dKtot,dW_destitution,dW_no_transfers,dW_noupscale,dWsurWprime,delta_W,destitution_exposure,equivalent_cost,fa,fap,far,faref,finance_pre,gdp_pc_pp,income_elast,individual_exposure,institutional_exposure,iso3,macro_multiplier,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,resilience,resilience_no_shock,resilience_no_shock_no_SP,resilience_no_shock_no_uspcale,risk,risk_to_assets,rp,share1,share1_ref,shew,sigma_p,sigma_r,social_p,social_r,tot_p,tot_r,total_equivalent_cost,total_equivalent_cost_no_destitution,total_equivalent_cost_of_destitution,unemp,v,v_p,v_r,v_s,v_shew
Azerbaijan $(\eta=1)$,0.5356497092899941,3.0,40.00000000000001,1.0,0.5982212831852317,0.001134416,0.024682880000000008,0.641703823227538,0.994,0.27500000000000013,6745.131230959596,19055.203142320348,132858.91117815019,11.770150846867685,110837168.26493448,4.230143409687298e-07,5.621875399161484e-05,5.535555882446153e-05,18.363038394181654,5.533294907424526e-05,1.1539116667560326e-05,18.503421813364238,0.04881725238613447,0.057017223351381194,0.04676725964482277,0.05712771561032617,0.0,16593.1887600482,1.0,8.02382795030273e-05,0.14381061930826883,AZE,1.522823847211125,0.7105923535449246,Azerbaijan,0.16797280806356454,0.16797280806356454,0.2,0.9818643188476561,9416801.000000004,0.2,0.0,13.950000000000001,13.950000000000001,0.04536358970665267,0.5500000000000003,0.6361067139682566,0.6409696801917631,0.6308703084646103,0.6407078787634496,0.0011151215164812293,0.0007093362835241737,78.09384866975691,0.08130000000000004,0.08130000000000004,0.0,0.06875000000000003,0.06875000000000003,0.8571289621356337,0.38777251599754,0.8669513459888089,0.4298631555227093,174243041.03551024,172921078.3133683,1321962.722141958,0.05500000000000001,0.12435864543214127,0.13000000000000003,0.12375000000000005,0.12375000000000005,0.12435864543214127
Azerbaijan $(\eta=2)$,0.5356497092899941,3.0,40.00000000000001,1.0,0.5982212831852317,0.001134416,0.024682880000000008,0.641703823227538,0.994,0.27500000000000013,6745.131230959596,19055.203142320348,132858.91117815019,11.770150846867685,110837168.26493448,1.6640466797642387e-12,2.145694587923203e-10,2.0781044890816162e-10,23.382096857464038,2.0767473836137675e-10,1.1539116667560326e-05,23.569451857636874,0.04881725238613447,0.057017223351381194,0.04676725964482277,0.05712771561032617,0.0,16593.1887600482,2.0,8.02382795030273e-05,0.14381061930826883,AZE,1.522823847211125,0.7105923535449246,Azerbaijan,0.16797280806356454,0.16797280806356454,0.2,0.9818643188476561,9416801.000000004,0.2,0.0,13.950000000000001,13.950000000000001,0.04536358970665267,0.5500000000000003,0.4993816113315325,0.5033830335498937,0.4872079203462665,0.5030542994218254,0.0014204293218423201,0.0007093362835241737,78.09384866975691,0.08130000000000004,0.08130000000000004,0.0,0.06875000000000003,0.06875000000000003,0.8571289621356337,0.38777251599754,0.8669513459888089,0.4298631555227093,221948837.82244685,220184553.0694643,1764284.7529825384,0.05500000000000001,0.12435864543214127,0.13000000000000003,0.12375000000000005,0.12375000000000005,0.12435864543214127
Bangladesh $(\eta=1)$,0.5356497092899942,2.9999999999999996,40.00000000000001,1.0,0.28970890762465906,0.1456589,0.18231080000000002,0.3708562155375874,0.3439999999999999,0.6000000000000003,1266.9307966291133,3250.076976037297,22847.082941261797,13.924312798212945,2180477233.51227,2.5770915003668275e-05,0.0003387762200680379,0.0003350088404409963,18.0529789258684,0.00031633619147576603,0.0025196667712457216,19.52369836296831,0.2220788330926537,0.22652040975450682,0.22096843892719045,0.2200119998538942,0.8,2853.447740155661,1.0,0.007483164400260144,0.33671140128341004,BGD,1.2286039180510175,0.6022875689248249,Bangladesh,0.02,0.02,0.2,0.6620095825195311,156594961.99999997,0.2,0.6666666666666667,50.0,50.0,0.6579914309428205,0.4,0.7132005698584223,0.7713027780839303,0.7202128391560266,0.728312073712937,0.006842143309028416,0.004879820507052058,218.498237055968,0.0888,0.0888,0.8,0.3166666666666667,0.3166666666666667,0.056762952438716055,0.0553770944413467,0.35545468416645587,0.35450768120158693,3057312803.248484,2827005548.883162,230307254.36532232,0.0430000019073486,0.3799778383907262,0.5291999999999999,0.29819999999999997,0.35500000000000004,0.31918138424821
Bangladesh $(\eta=2)$,0.5356497092899942,2.9999999999999996,40.00000000000001,1.0,0.28970890762465906,0.1456589,0.18231080000000002,0.3708562155375874,0.3439999999999999,0.6000000000000003,1266.9307966291133,3250.076976037297,22847.082941261797,13.924312798212945,2180477233.51227,5.895222256376554e-10,8.191072136478998e-09,8.019883700851092e-09,23.419386285519206,7.189205128928023e-09,0.0025196667712457216,25.33980008349994,0.2220788330926537,0.22652040975450682,0.22096843892719045,0.2200119998538942,0.8,2853.447740155661,2.0,0.007483164400260144,0.33671140128341004,BGD,1.2286039180510175,0.6022875689248249,Bangladesh,0.02,0.02,0.2,0.6620095825195311,156594961.99999997,0.2,0.6666666666666667,50.0,50.0,0.6579914309428205,0.4,0.54950365639545,0.5945635222227278,0.5218412256926539,0.5329801881021704,0.008880414989523378,0.004879820507052058,218.498237055968,0.0888,0.0888,0.8,0.3166666666666667,0.3166666666666667,0.056762952438716055,0.0553770944413467,0.35545468416645587,0.35450768120158693,3968085031.1632695,3667357905.4442005,300727125.71906924,0.0430000019073486,0.3799778383907262,0.5291999999999999,0.29819999999999997,0.35500000000000004,0.31918138424821
Belarus $(\eta=1)$,0.5356497092899942,3.0,40.000000000000014,1.0,0.38644453675382395,0.04172604000000001,0.08594028000000001,0.8407184956452354,1.0,0.525,7990.060579691001,19320.682773142868,136553.0208633042,22.335400166136292,211426897.97264606,8.967477692079038e-07,0.0001087502122452612,9.046565098618039e-05,28.893407611880765,8.470883667213601e-05,2.5338530109106924e-05,29.19928005493005,0.03397282798659645,0.039679339301365475,0.032546200157904166,0.03563503796859987,0.8,17054.5583344525,1.0,0.00032964242879458805,0.07686671343177202,BLR,1.3208580777032073,0.3185630087095291,Belarus,0.16797280806356454,0.16797280806356454,0.2,0.9866813659667973,9466000.0,0.2,0.7333333333333334,14.450000000000005,14.450000000000005,1.4034785973975203,0.25,0.7649298244380909,0.773027552380223,0.6021345919763091,0.7238356654023359,0.0017121100108434693,0.001309644010013192,80.38991971429313,0.09370000000000003,0.09370000000000003,0.8,0.3145833333333333,0.3145833333333333,0.4917469369193376,0.31017039879218283,0.6516348796801293,0.5271792941721419,276400384.9999679,273504996.45406336,2895388.5459044916,0.058000001907348615,0.2621200790729579,0.5291999999999998,0.18122999999999986,0.21574999999999983,0.22018086642128462
Belarus $(\eta=2)$,0.5356497092899942,3.0,40.000000000000014,1.0,0.38644453675382395,0.04172604000000001,0.08594028000000001,0.8407184956452354,1.0,0.525,7990.060579691001,19320.682773142868,136553.0208633042,22.335400166136292,211426897.97264606,3.4321803114573948e-12,4.90762638812077e-10,3.648427349463209e-10,39.265856128913974,3.269539316695434e-10,2.5338530109106924e-05,39.67804722149392,0.03397282798659645,0.039679339301365475,0.032546200157904166,0.03563503796859987,0.8,17054.5583344525,2.0,0.00032964242879458805,0.07686671343177202,BLR,1.3208580777032073,0.3185630087095291,Belarus,0.16797280806356454,0.16797280806356454,0.2,0.9866813659667973,9466000.0,0.2,0.7333333333333334,14.450000000000005,14.450000000000005,1.4034785973975203,0.25,0.5629158118960307,0.5688249886315174,0.3789603196264769,0.5097526924643875,0.0023265361930445852,0.001309644010013192,80.38991971429313,0.09370000000000003,0.09370000000000003,0.8,0.3145833333333333,0.3145833333333333,0.4917469369193376,0.31017039879218283,0.6516348796801293,0.5271792941721419,375592394.99866146,371690594.1162997,3901800.8823617436,0.058000001907348615,0.2621200790729579,0.5291999999999998,0.18122999999999986,0.21574999999999983,0.22018086642128462
Belgium $(\eta=1)$,0.5356497092899944,3.0,40.0,1.0,0.2166915174374668,0.4380374000000001,0.41742320000000005,0.9004417114358292,1.0,0.4416666666666666,16954.245813900616,46522.65355820335,325149.305732938,13.96356726589189,156152017.40165937,5.8650436015739407e-08,2.4922920464990825e-05,2.0077300028847277e-05,16.077803237599124,1.9795877198968393e-05,2.443064264340123e-05,16.125437912263077,0.11046039526401999,0.12901473803632865,0.10582180957094278,0.10099202257790048,0.0,40608.972009342804,1.0,0.0002301703646087565,0.10614156468374386,BEL,1.1589692029790655,0.19911657712834196,Belgium,0.1679728080635645,0.1679728080635645,0.20000000000000004,0.865133590698242,11182817.000000002,0.20000000000000004,0.0,213.02,213.02,1.2404150132868863,0.8833333333333332,0.8659341434239669,0.8684996985929683,0.689835422972923,0.8563259679331778,0.0003970905224725496,0.0003438542414390428,646.280249170971,0.0835,0.0835,0.0,0.11041666666666665,0.11041666666666665,0.65117317,0.40252258500000004,0.6896894658124999,0.4684940495729166,180327821.2177001,179795131.36807856,532689.8496215403,0.0839999961853027,0.14729413882826148,0.32999999999999996,0.12699999999999997,0.12699999999999997,0.14729413882826148
Belgium $(\eta=2)$,0.5356497092899944,3.0,40.0,1.0,0.2166915174374668,0.4380374000000001,0.41742320000000005,0.9004417114358292,1.0,0.4416666666666666,16954.245813900616,46522.65355820335,325149.305732938,13.96356726589189,156152017.40165937,9.427347522404315e-14,4.9592507362098966e-11,3.405513269936449e-11,19.93536354986635,3.319904942600207e-11,2.443064264340123e-05,19.991972881585006,0.11046039526401999,0.12901473803632865,0.10582180957094278,0.10099202257790048,0.0,40608.972009342804,2.0,0.0002301703646087565,0.10614156468374386,BEL,1.1589692029790655,0.19911657712834196,Belgium,0.1679728080635645,0.1679728080635645,0.20000000000000004,0.865133590698242,11182817.000000002,0.20000000000000004,0.0,213.02,213.02,1.2404150132868863,0.8833333333333332,0.698458693826761,0.7004420677337235,0.4689016963178361,0.6828342450469127,0.0004923043330667297,0.0003438542414390428,646.280249170971,0.0835,0.0835,0.0,0.11041666666666665,0.11041666666666665,0.65117317,0.40252258500000004,0.6896894658124999,0.4684940495729166,223566574.20372784,222933522.4066258,633051.7971020293,0.0839999961853027,0.14729413882826148,0.32999999999999996,0.12699999999999997,0.12699999999999997,0.14729413882826148
Benin $(\eta=1)$,0.5356497092899944,3.0,39.99999999999999,1.0,0.33025332194584356,0.016196149999999992,0.10625530000000002,0.7001817474953941,0.8089999999999999,0.0,532.1259856048554,2033.605252804223,13878.320970401113,14.76853670407285,152462604.6825418,0.0001306565308545991,0.0006802333955718606,0.0006746476101689372,23.387461160743342,0.0006746476101689372,0.0016223633013263824,27.91682507562362,0.034685926623073564,0.0638221049864554,0.027401882032228125,0.04386480849297978,0.0,1733.30939936435,1.0,0.006260170389644426,0.2591564127407931,BEN,1.267270032133934,0.40863650500921217,Benin,0.8400000000000007,0.8400000000000007,0.20000000000000004,0.532349014282227,10323474.0,0.20000000000000004,0.0,6.350000000000001,6.350000000000001,0.04498095473373674,0.0,0.5290192084546328,0.6314724203096636,0.6262870391586116,0.6314724203096636,0.016106083014297074,0.008520427287528044,40.31138556849513,0.06140000000000002,0.06140000000000002,0.0,0.0,0.0,0.04725879624981513,0.07452986615849086,0.047258796249815105,0.07452986615849089,288198617.8307485,241439847.21894374,46758770.61180475,0.010000000000000002,0.6028818009994501,0.6299999999999998,0.5987500000000001,0.5987500000000001,0.6028818009994501
Benin $(\eta=2)$,0.5356497092899944,3.0,39.99999999999999,1.0,0.33025332194584356,0.016196149999999992,0.10625530000000002,0.7001817474953941,0.8089999999999999,0.0,532.1259856048554,2033.605252804223,13878.320970401113,14.76853670407285,152462604.6825418,4.920342087775345e-09,3.6985808310420095e-08,3.6456363573882026e-08,43.81183866754327,3.6456363573882026e-08,0.0016223633013263824,49.72491426275086,0.034685926623073564,0.0638221049864554,0.027401882032228125,0.04386480849297978,0.0,1733.30939936435,2.0,0.006260170389644426,0.2591564127407931,BEN,1.267270032133934,0.40863650500921217,Benin,0.8400000000000007,0.8400000000000007,0.20000000000000004,0.532349014282227,10323474.0,0.20000000000000004,0.0,6.350000000000001,6.350000000000001,0.04498095473373674,0.0,0.29700476960170497,0.33709009147369323,0.3322647116098279,0.33709009147369323,0.028687846659682506,0.008520427287528044,40.31138556849513,0.06140000000000002,0.06140000000000002,0.0,0.0,0.0,0.04725879624981513,0.07452986615849086,0.047258796249815105,0.07452986615849089,513333859.54373765,452290377.3765776,61043482.16715999,0.010000000000000002,0.6028818009994501,0.6299999999999998,0.5987500000000001,0.5987500000000001,0.6028818009994501
