country,gdp_pc_pp,pop,share1,plgp,unemp,axfin_p,axfin_r,bashs,ophe,social_p,social_r,axhealth
Burundi,746.960151427392,10162532.0,0.08960000000000001,0.47495601654052705,0.06900000095367428,0.005427960000000001,0.051618910000000004,0.603,0.20233346786826,,,0.70033326606587
Cabo Verde,6210.492954660251,498897.0,0.0579,0.9140057373046879,0.07,,,0.775,0.230562777168227,0.11215629287022583,0.08850635522282173,0.7722186114158864
Cambodia,2943.52466835185,15135169.0,0.08990000000000001,0.642295989990234,0.0030000001192092896,0.0021845939999999998,0.0120755,0.74,0.59739799120384,0.02478883990859972,0.028243106138826066,0.57130100439808
Cameroon,2739.34394480018,22253959.0,0.0635,0.6975482177734379,0.04,0.09631175,0.1015309,0.636,0.6148367448398971,0.149924286778418,0.02986213188812069,0.5105816275800514
Canada,41898.8823594636,35154279.0,0.071,0.998382568359375,0.07099999904632572,0.3688955,0.6416325,1.0,0.15121760279456198,,,0.924391198602719
Caribbean small states,14252.8204697025,7002414.0,,0.8656566619873051,0.117028731688285,,,0.97318892162527,0.335593051190944,,,0.818797935217163
Cayman Islands,,58435.0,,0.746488265991211,,,,1.0,,,,
Central African Republic,584.375944042188,4616417.0,0.0337,0.465562896728516,0.0759999990463257,0.006212666,0.037263269999999994,0.5379999999999999,0.45005968492499504,,,0.5439701575375024
Central Europe and the Baltics,22152.224468066,104186502.0,,0.9735376739501949,0.10092983784124401,,,0.9962983006961821,0.221405794787698,,,0.8874462529542421
Chad,2021.59347086517,12825314.0,0.048799999999999996,0.509875793457031,0.07,0.0492537,0.08138166,0.22699999999999998,0.6102063567497631,,,0.30839682162511844
Channel Islands,,162018.0,,,,,,,,,,
Chile,21714.0315564501,17619708.0,0.0452,0.986675415039063,0.06,0.07033718,0.16054310000000002,0.9984999999999999,0.317453447212696,,,0.840523276393652
China,11524.567506563,1357380000.0,0.0467,,0.0459999990463257,0.17047620000000002,0.4205325999999999,0.998,0.338780573827922,,,0.829609713086039
Colombia,12025.385371844199,48321405.0,0.033,0.8471189117431641,0.105,0.02795298,0.1365075,0.9904999999999999,0.139249199109682,0.12269429867232788,0.08732756485972662,0.925625400445159
Comoros,1399.7808484349,734917.0,0.0255,0.554069290161133,0.065,0.03531137,0.1475529,0.8220000000000001,0.45135675310298207,0.036605229136707475,0.02693787180592966,0.685321623448509
"Congo, Dem. Rep.",783.259253578526,67513677.0,0.0547,0.7072544860839841,0.08,0.008708673000000002,0.01915755,0.8009999999999999,0.327046790662679,0.012981287634021593,0.03017523822148268,0.7369766046686604
"Congo, Rep.",5680.229982744329,4447632.0,0.056100000000000004,0.7029091644287111,0.065,0.017709810000000003,0.08744304,0.925,0.21652714823540503,0.1719690500661691,0.1521444160488617,0.8542364258822975
Costa Rica,13430.743207071202,4872166.0,0.0421,0.877201766967773,0.0759999990463257,0.07918306,0.2792255,0.991,0.23345354422344602,0.4696688141506717,0.20280860501907427,0.8787732278882769
Cote d'Ivoire,3107.4688875175298,20316086.0,0.0519,0.7311875152587891,0.04,,,0.594,0.511924545461815,,,0.5410377272690925
Croatia,20048.9871590995,4255700.0,0.0801,0.994395370483398,0.177000007629395,0.07799293,0.1524273,1.0,0.12462929180337999,0.4117870853363053,0.19234059685290206,0.93768535409831
Cuba,18796.192523146103,11265629.0,,0.9579328155517579,0.032000000476837195,,,1.0,0.0704797950968119,,,0.964760102451594
Curacao,,153817.0,,,,,,,,,,
Cyprus,27393.93980965,1141166.0,,0.952674102783203,0.158000001907349,0.2383044,0.3485212,0.99,0.468590524731997,,,0.7607047376340015
Czech Republic,28124.4644802821,10514272.0,0.0933,0.992513885498047,0.06900000095367428,0.2615189,0.4178777,0.9990000000000001,0.157077590951439,,,0.9209612045242805
Denmark,42482.7324552521,5614932.0,0.0913,0.9888683319091801,0.07,0.4418966,0.6474435,1.0,0.127923230332797,,,0.9360383848336015
Djibouti,2902.5462446952697,872932.0,0.0603,0.844022979736328,,0.01797438,0.043676589999999994,0.8740000000000001,0.396653891163679,0.2858701354316727,0.08565180357270068,0.7386730544181606
Dominica,10011.3654275603,72003.0,,0.864302215576172,,,,1.0,0.268878516679002,0.5815343307526244,0.08303201217611587,0.865560741660499
Dominican Republic,11795.4705790204,10403761.0,0.0501,0.911387329101563,0.148999996185303,0.05700692,0.2295297,0.986,0.390149834998209,0.1917471414625228,0.11760695886439583,0.7979250825008954
East Asia & Pacific (all income levels),13361.3645537254,2248612976.0,,0.925960311889648,0.044647502498053895,,,0.9244524362664239,0.256045293260125,,,0.8342035715031495
East Asia & Pacific (developing only),10448.5183922431,2005810617.0,,0.9244515991210942,0.045156657343902805,0.1533484,0.37245269999999997,0.9244346317934391,0.345663218621629,,,0.789385706585905
Ecuador,10540.6573666533,15737878.0,0.043,0.889004974365234,0.041999998092651404,0.09387966,0.1769659,0.905,0.439937880944244,0.27929296085767535,0.17364544512629723,0.732531059527878
